,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,is_active,infinite_supply,cmc_rank,is_fiat,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,category,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
0,29920,SLERF,SLERF,slerf,85,2024-03-18T09:28:39.000Z,"['memes', 'solana-ecosystem', 'presale-memes']",499997750.5,499997750.0,499997750.0,SOL,1,False,287.0,0,499997750.5,199440796.027299,,2024-04-14T23:33:00.000Z,0.3988833866309544,229319918.5219993,69.6037,1.72612656,58.55682341,-4.9503042,-39.47272718,-39.47272718,-39.47272718,199440795.8278573,0.0,199440796.03,,2024-04-14T23:33:00.000Z,Presale Memes,,,,,
1,30109,Pundu,PUNDU,pundu,20,2024-03-27T04:30:58.000Z,"['memes', 'presale-memes']",,0.0,999967975.0,SOL,1,False,2490.0,0,995917144.2025213,15588844.222884784,,2024-04-14T23:33:00.000Z,0.01565275215275817,9782860.71665261,9.0249,3.06070342,12.63908014,-23.57984399,-57.9272524,-57.9272524,-57.9272524,0.0,0.0,15652250.87,,2024-04-14T23:33:00.000Z,Presale Memes,,,,,
0,5805,Avalanche,AVAX,avalanche,708,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377911552.0019369,436601192.0019369,,1,False,11.0,0,,,,2024-04-14T23:33:00.000Z,37.74199815165676,1197862724.5107298,-19.6173,0.35822198,11.02906721,-22.25242633,-34.98378054,-10.77685242,6.12069599,14263137097.14684,0.5976,27013786829.55,,2024-04-14T23:33:00.000Z,Real World Assets,,,,,
1,1975,Chainlink,LINK,chainlink,1726,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,,1,False,16.0,0,,,,2024-04-14T23:33:00.000Z,14.218053479533072,734868280.3659813,-27.8361,1.42373202,6.63224315,-20.47526015,-27.33110164,-29.97352861,-6.41445377,8347418777.730007,0.3497,14218053479.53,,2024-04-14T23:33:00.000Z,Real World Assets,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca
2,8916,Internet Computer,ICP,internet-computer,231,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'depin']",,462684475.89658403,517706433.09566027,,1,True,19.0,0,462684517.1514524,6013041182.434849,,2024-04-14T23:33:00.000Z,12.995985297832163,226645906.2827174,-26.8281,1.58024971,4.36835534,-23.78804286,1.42412388,-4.2847887,0.53897144,6013040646.287186,0.2519,6728105193.1,,2024-04-14T23:33:00.000Z,Real World Assets,8916.0,ICP,ICP,internet-computer,ryjl3-tyaaa-aaaaa-aaaba-cai
3,3077,VeChain,VET,vechain,282,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio', 'real-world-assets']",86712634466.0,72714516834.0,85985041177.0,,1,False,37.0,0,72714516834.0,3138183127.1005926,,2024-04-14T23:33:00.000Z,0.04315758755936937,150743574.80352354,-44.6161,0.05687387,6.10706502,1.51239948,-3.03659726,20.43010197,42.4447214,3138183127.1005926,0.1315,3742308114.47,,2024-04-14T23:33:00.000Z,Real World Assets,,,,,
4,1518,Maker,MKR,maker,468,2017-01-29T00:00:00.000Z,"['store-of-value', 'defi', 'dao', 'polychain-capital-portfolio', 'governance', 'lending-borowing', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'bnb-chain', 'real-world-assets', 'standard-crypto-portfolio']",1005577.0,924709.71575451,977631.03695089,,1,False,42.0,0,,,0.5039353,2024-04-14T23:33:00.000Z,3076.075238091234,153607565.96739197,-11.144,-0.18511,9.33373891,-15.08302365,9.42909222,47.2857081,52.8924012,2844476659.054832,0.1192,3093230509.69,5644527509.07288,2024-04-14T23:33:00.000Z,Real World Assets,1027.0,Ethereum,ETH,ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
5,21159,Ondo,ONDO,ondo-finance,114,2024-01-18T12:06:25.000Z,"['ethereum-ecosystem', 'real-world-assets']",,1389759838.4783604,10000000000.0,,1,False,73.0,0,1426647567.0,1305997096.1535347,,2024-04-14T23:34:00.000Z,0.9154307807777832,711768275.4804633,-1.2958,0.86109536,15.8292754,14.40114469,76.21690675,224.19051214,466.16510603,1272228934.0318513,0.0533,9154307807.78,,2024-04-14T23:34:00.000Z,Real World Assets,1027.0,Ethereum,ETH,ethereum,0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3
6,2586,Synthetix,SNX,synthetix,592,2018-03-14T00:00:00.000Z,"['services', 'decentralized-exchange-dex-token', 'defi', 'derivatives', 'dao', 'yield-farming', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'synthetics', 'defiance-capital-portfolio', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'parafi-capital', 'paradigm-portfolio', 'fantom-ecosystem', 'spartan-group', 'bnb-chain', 'optimism-ecosystem', 'real-world-assets', 'dwf-labs-portfolio', 'celsius-bankruptcy-estate']",,327769196.1395232,328193104.0887736,,1,False,88.0,0,,,,2024-04-14T23:34:00.000Z,2.9957617302556954,72163077.4509979,-27.5221,1.59906898,6.25684067,-24.8844368,-30.06758622,-18.09573954,-15.69128782,981918414.1514565,0.0411,983188341.36,,2024-04-14T23:34:00.000Z,Real World Assets,1027.0,Ethereum,ETH,ethereum,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
7,12387,Ribbon Finance,RBN,ribbon-finance,88,2021-10-07T12:24:29.000Z,"['derivatives', 'coinbase-ventures-portfolio', 'real-world-assets']",,537093440.461139,1000000000.0,,1,False,114.0,0,336479659.74,406477255.35107577,,2024-04-14T23:34:00.000Z,1.208029203504198,7372273.39236993,-22.8302,-0.52927139,-2.24231355,-27.96876944,-16.00095332,139.69730668,191.26946817,648824561.087599,0.0272,1208029203.5,,2024-04-14T23:34:00.000Z,Real World Assets,1027.0,Ethereum,ETH,ethereum,0x6123b0049f904d730db3c36a31167d9d4121fa6b
