id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,category,category_id,exchanges_centralized,exchanges_decentralized
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,60353.0,1185323770873.0,1,1264032357109.0,39406322302.0,64555.0,59131.0,-3024.1191209508834,-4.77162,-57073362640.883545,-4.59381,19692375.0,21000000.0,21000000.0,73738.0,-18.42641,2024-03-14T07:10:36.635Z,67.81,88606.04004,2013-07-06T00:00:00.000Z,2024-04-30T22:17:35.155Z,Pixels Game,pixels-game,"['binance', 'bybit_spot', 'nami_exchange', 'upbit', 'okex', 'huobi', 'bitget', 'bitrue', 'digifinex', 'gdax', 'bibox', 'whitebit', 'bitvenus_spot', 'orangex', 'hotcoin_global', 'crypto_com', 'p2pb2b', 'toobit', 'citex', 'bitmart', 'biconomy', 'lbank', 'bullish_com', 'deepcoin', 'xt', 'coinw', 'kucoin', 'coinsbit', 'bingx', 'backpack_exchange', 'probit', 'websea', 'poloniex', 'latoken', 'bithumb', 'bione', 'bigone', 'tidex', 'btc_alpha', 'difx', 'pionex', 'cointr', 'kraken', 'currency', 'tapbit', 'bit_com', 'yobit', 'bitunix', 'coinstore', 'bitmax', 'azbit', 'tokenize', 'trubit', 'trubit', 'fameex', 'bitfinex', 'bilaxy', 'hitbtc', 'hitbtc', 'bitcoin_com', 'bitcoin_com', 'bitvavo', 'bit2me', 'coincatch', 'fmcpay', 'changelly', 'fastex', 'weex', 'bitstamp', 'btcturk', 'pointpay', 'coinone', 'paribu', 'icrypex', 'phemex', 'qmall', 'bydfi', 'oceanex', 'c_patex', 'bitflyer', 'bitcastle', 'bitexen', 'localtrade', 'dextrade', 'btse', 'exmo', 'koinpark', 'bitci', 'bitdelta', 'bithash', 'omgfin', 'purcow', 'coincheck', 'catex', 'crex24', 'coinex', 'cryptology']","['thorswap', 'dexalot', 'cube']"
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3000.41,364602753993.0,2,364602753993.0,19249028932.0,3244.68,2916.38,-191.31769310745403,-5.99417,-23031041599.879517,-5.94144,122056395.217757,122056395.217757,-1.0,4878.26,-38.80647,2021-11-10T14:24:19.604Z,0.432979,689351.57638,2015-10-20T00:00:00.000Z,2024-04-30T22:17:27.884Z,Pixels Game,pixels-game,"['binance', 'bybit_spot', 'nami_exchange', 'upbit', 'okex', 'huobi', 'bitget', 'bitrue', 'digifinex', 'gdax', 'bibox', 'whitebit', 'bitvenus_spot', 'orangex', 'hotcoin_global', 'crypto_com', 'p2pb2b', 'toobit', 'citex', 'bitmart', 'biconomy', 'lbank', 'bullish_com', 'deepcoin', 'xt', 'coinw', 'kucoin', 'coinsbit', 'bingx', 'probit', 'websea', 'poloniex', 'latoken', 'bithumb', 'bione', 'bigone', 'tidex', 'btc_alpha', 'difx', 'pionex', 'cointr', 'kraken', 'currency', 'tapbit', 'bit_com', 'yobit', 'bitunix', 'coinstore', 'bitmax', 'azbit', 'tokenize', 'trubit', 'trubit', 'fameex', 'bitfinex', 'bilaxy', 'hitbtc', 'hitbtc', 'bitcoin_com', 'bitcoin_com', 'bitvavo', 'bit2me', 'coincatch', 'fmcpay', 'changelly', 'fastex', 'weex', 'bitstamp', 'btcturk', 'pointpay', 'coinone', 'paribu', 'icrypex', 'phemex', 'qmall', 'bydfi', 'oceanex', 'c_patex', 'bitflyer', 'bitcastle', 'bitexen', 'localtrade', 'dextrade', 'btse', 'exmo', 'koinpark', 'bitci', 'bitdelta', 'bithash', 'omgfin', 'purcow', 'catex', 'crex24', 'coinex', 'cryptology']","['curve_ethereum', 'thorswap', 'openocean_finance', 'degate', 'cube']"
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999586,110570418924.0,3,110570418924.0,60982777507.0,1.003,0.994201,-0.001507807989471033,-0.15062,85026580.0,0.07696,110643229581.368,110643229581.368,-1.0,1.32,-24.52065,2018-07-24T00:00:00.000Z,0.572521,74.43268,2015-03-02T00:00:00.000Z,2024-04-30T22:15:26.224Z,Pixels Game,pixels-game,"['binance', 'bybit_spot', 'nami_exchange', 'okex', 'gate', 'huobi', 'bitget', 'gdax', 'whitebit', 'crypto_com', 'bullish_com', 'kucoin', 'coinsbit', 'backpack_exchange', 'poloniex', 'bithumb', 'tidex', 'cointr', 'kraken', 'yobit', 'bitmax', 'tokenize', 'trubit', 'trubit', 'bitfinex', 'bilaxy', 'hitbtc', 'hitbtc', 'bitcoin_com', 'bitcoin_com', 'bitvavo', 'bit2me', 'changelly', 'bitstamp', 'btcturk', 'paribu', 'icrypex', 'qmall', 'bitexen', 'btse', 'exmo', 'koinpark', 'bitci']","['jupiter', 'raydium2', 'curve_ethereum', 'meteora', 'thorswap', 'dodo', 'openocean_finance', 'tokenlon', 'traderjoe-v2-1-avalanche', 'dodo_bsc', 'ston_fi', 'traderjoe', 'vertex-protocol-spot', 'dexalot', 'sushiswap', 'sunswap_v1', 'uniswap-v3-avalanche', 'degate', 'dedust']"
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,580.3,88906156275.0,4,88906156275.0,2073207066.0,602.91,556.22,-13.022822679610158,-2.1949,-1995343594.9175415,-2.19506,153856150.0,153856150.0,200000000.0,686.31,-15.6771,2021-05-10T07:24:17.097Z,0.0398177,1453308.16439,2017-10-19T00:00:00.000Z,2024-04-30T22:17:48.955Z,Pixels Game,pixels-game,"['binance', 'bybit_spot', 'nami_exchange', 'okex', 'bitrue', 'digifinex', 'bibox', 'bitvenus_spot', 'orangex', 'hotcoin_global', 'p2pb2b', 'toobit', 'citex', 'biconomy', 'lbank', 'deepcoin', 'xt', 'coinw', 'coinsbit', 'probit', 'websea', 'poloniex', 'bithumb', 'bione', 'tidex', 'difx', 'pionex', 'cointr', 'currency', 'tapbit', 'bit_com', 'bitunix', 'coinstore', 'bitmax', 'azbit', 'trubit', 'trubit', 'fameex', 'bilaxy', 'hitbtc', 'hitbtc', 'bitcoin_com', 'bitcoin_com', 'bitvavo', 'coincatch', 'fmcpay', 'changelly', 'fastex', 'weex', 'pointpay', 'phemex', 'qmall', 'bydfi', 'oceanex', 'c_patex', 'bitcastle', 'localtrade', 'dextrade', 'btse', 'koinpark', 'bitci', 'bitdelta', 'purcow', 'crex24', 'cryptology']","['thorswap', 'openocean_finance', 'traderjoe']"
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,126.62,56386580076.0,5,72471357250.0,3975282161.0,139.46,121.45,-9.515672611407496,-6.99007,-4016459365.191208,-6.64943,447440391.384757,575076654.43978,-1.0,259.96,-51.67955,2021-11-06T21:54:35.825Z,0.500801,24982.50184,2020-05-11T19:35:23.449Z,2024-04-30T22:17:25.085Z,Pixels Game,pixels-game,"['binance', 'bybit_spot', 'nami_exchange', 'upbit', 'okex', 'bitrue', 'digifinex', 'gdax', 'bibox', 'whitebit', 'bitvenus_spot', 'hotcoin_global', 'crypto_com', 'p2pb2b', 'toobit', 'biconomy', 'lbank', 'bullish_com', 'deepcoin', 'xt', 'coinw', 'coinsbit', 'backpack_exchange', 'probit', 'poloniex', 'bithumb', 'bigone', 'tidex', 'difx', 'pionex', 'cointr', 'kraken', 'tapbit', 'bit_com', 'bitunix', 'bitmax', 'tokenize', 'trubit', 'trubit', 'fameex', 'bitfinex', 'bilaxy', 'hitbtc', 'hitbtc', 'bitcoin_com', 'bitcoin_com', 'bitvavo', 'bit2me', 'coincatch', 'changelly', 'weex', 'bitstamp', 'btcturk', 'pointpay', 'coinone', 'paribu', 'icrypex', 'phemex', 'qmall', 'bydfi', 'c_patex', 'bitcastle', 'bitexen', 'localtrade', 'dextrade', 'btse', 'exmo', 'koinpark', 'bitci', 'bitdelta', 'cryptology']","['injective', 'cube']"
usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.001,33120966964.0,6,33223724842.0,10121755759.0,1.004,0.995922,-0.001673568104968659,-0.16699,-205306864.87108994,-0.61605,33096053752.1775,33210949246.6025,-1.0,1.17,-14.69897,2019-05-08T00:40:28.300Z,0.877647,13.97873,2023-03-11T08:02:13.981Z,2024-04-30T22:17:45.616Z,Pixels Game,pixels-game,"['binance', 'bybit_spot', 'nami_exchange', 'okex', 'gate', 'huobi', 'bitget', 'bitrue', 'digifinex', 'gdax', 'bibox', 'whitebit', 'orangex', 'hotcoin_global', 'toobit', 'bitmart', 'mxc', 'lbank', 'deepcoin', 'xt', 'coinw', 'kucoin', 'coinsbit', 'bingx', 'probit', 'latoken', 'bigone', 'tidex', 'pionex', 'kraken', 'tapbit', 'yobit', 'bitunix', 'tokenize', 'trubit', 'trubit', 'fameex', 'bitfinex', 'bilaxy', 'bitvavo', 'bit2me', 'coincatch', 'weex', 'bitstamp', 'btcturk', 'pointpay', 'paribu', 'icrypex', 'phemex', 'qmall', 'bydfi', 'oceanex', 'c_patex', 'bitcastle', 'bitexen', 'localtrade', 'dextrade', 'exmo', 'omgfin', 'crex24', 'coinex']","['uniswap_v3', 'jupiter', 'uniswap_v3_arbitrum', 'curve_ethereum', 'balancer', 'orca', 'uniswap-v3-base', 'uniswap_v2', 'meteora', 'thorswap', 'uniswap_v3_optimism', 'ramses-v2', 'uniswap_v3_polygon_pos', 'pancakeswap-v3-ethereum', 'openocean_finance', 'quickswap_v3', 'quickswap_v3', 'raydium-clmm', 'camelot-v3', 'pancakeswap-v3-arbitrum', 'tokenlon', 'aerodrome-base', 'traderjoe-v2-1-arbitrum', 'dodo_bsc', 'maverick_protocol_zksync', 'velodrome-finance-slipstream', 'syncswap', 'maverick_protocol_base', 'solidly-v3', 'injective', 'cellana-finance', 'traderjoe', 'maverick_protocol', 'mute', 'sushiswap', 'sunswap_v1', 'retro', 'uniswap-v3-avalanche', 'velodrome-finance-v2', 'ref_finance', 'beethoven_x_optimism', 'balancer_arbitrum', 'curve_arbitrum', 'camelot', 'uniswap_v3_celo']"
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2996.43,27895457110.0,7,27895457110.0,190011861.0,3242.78,2930.67,-191.8899491323491,-6.01853,-1800873341.4999008,-6.0643,9337743.94221951,9338132.64309227,-1.0,4829.57,-38.23986,2021-11-10T14:40:47.256Z,482.9,517.6792,2020-12-22T04:08:21.854Z,2024-04-30T22:17:32.523Z,Pixels Game,pixels-game,"['bybit_spot', 'okex', 'huobi', 'bitget', 'bingx', 'latoken']","['uniswap_v3', 'curve_ethereum', 'openocean_finance']"
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.498158,27444238175.0,8,49679362516.0,1267385015.0,0.519861,0.491467,-0.017159433269821667,-3.32987,-954326714.4655609,-3.36048,55235913166.0,99987652657.0,100000000000.0,3.4,-85.37527,2018-01-07T00:00:00.000Z,0.00268621,18402.44737,2014-05-22T00:00:00.000Z,2024-04-30T22:17:45.540Z,Pixels Game,pixels-game,"['binance', 'bybit_spot', 'upbit', 'okex', 'huobi', 'bitget', 'bitrue', 'digifinex', 'gdax', 'bibox', 'whitebit', 'bitvenus_spot', 'orangex', 'hotcoin_global', 'crypto_com', 'toobit', 'bitmart', 'biconomy', 'lbank', 'bullish_com', 'deepcoin', 'xt', 'coinw', 'kucoin', 'coinsbit', 'bingx', 'probit', 'poloniex', 'latoken', 'bithumb', 'bione', 'bigone', 'tidex', 'btc_alpha', 'difx', 'pionex', 'cointr', 'kraken', 'currency', 'tapbit', 'bit_com', 'yobit', 'coinstore', 'bitmax', 'tokenize', 'trubit', 'trubit', 'bitfinex', 'hitbtc', 'hitbtc', 'bitcoin_com', 'bitcoin_com', 'bitvavo', 'bit2me', 'coincatch', 'fmcpay', 'changelly', 'fastex', 'weex', 'bitstamp', 'btcturk', 'pointpay', 'coinone', 'paribu', 'icrypex', 'phemex', 'bydfi', 'oceanex', 'c_patex', 'bitflyer', 'bitcastle', 'bitexen', 'localtrade', 'dextrade', 'btse', 'exmo', 'koinpark', 'bitci', 'bitdelta', 'bithash', 'omgfin', 'purcow', 'catex', 'coinex', 'cryptology']",[]
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.132806,19070300351.0,9,19070580911.0,1434738884.0,0.145673,0.129823,-0.009236797040317131,-6.50281,-1222502142.112053,-6.02431,144101296383.705,144103416383.705,-1.0,0.731578,-81.93266,2021-05-08T05:08:23.458Z,8.69e-05,151995.53282,2015-05-06T00:00:00.000Z,2024-04-30T22:17:49.669Z,Meme,meme-token,"['binance', 'bybit_spot', 'upbit', 'okex', 'huobi', 'bitrue', 'digifinex', 'gdax', 'bibox', 'whitebit', 'bitvenus_spot', 'orangex', 'hotcoin_global', 'crypto_com', 'p2pb2b', 'toobit', 'citex', 'biconomy', 'lbank', 'bullish_com', 'deepcoin', 'xt', 'coinw', 'probit', 'poloniex', 'latoken', 'bithumb', 'bione', 'bigone', 'tidex', 'btc_alpha', 'pionex', 'cointr', 'kraken', 'currency', 'tapbit', 'bit_com', 'bitunix', 'coinstore', 'bitmax', 'azbit', 'tokenize', 'trubit', 'trubit', 'fameex', 'bitfinex', 'hitbtc', 'hitbtc', 'bitcoin_com', 'bitcoin_com', 'bitvavo', 'bit2me', 'coincatch', 'fmcpay', 'changelly', 'fastex', 'weex', 'bitstamp', 'btcturk', 'pointpay', 'coinone', 'paribu', 'icrypex', 'phemex', 'qmall', 'bydfi', 'oceanex', 'bitcastle', 'bitexen', 'localtrade', 'dextrade', 'btse', 'exmo', 'koinpark', 'bitci', 'bitdelta', 'omgfin', 'purcow', 'catex', 'crex24', 'cryptology']","['thorswap', 'vvs', 'cube']"
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.132813,19070300351.0,9,19070580911.0,1436682996.0,0.145673,0.129823,-0.009229939617136059,-6.49798,-1222502142.112053,-6.02431,144101296383.705,144103416383.705,-1.0,0.731578,-81.93266,2021-05-08T05:08:23.458Z,8.69e-05,151995.53282,2015-05-06T00:00:00.000Z,2024-04-30T22:17:29.215Z,Pixels Game,pixels-game,"['binance', 'bybit_spot', 'upbit', 'okex', 'huobi', 'bitrue', 'digifinex', 'gdax', 'bibox', 'whitebit', 'bitvenus_spot', 'orangex', 'hotcoin_global', 'crypto_com', 'p2pb2b', 'toobit', 'citex', 'biconomy', 'lbank', 'bullish_com', 'deepcoin', 'xt', 'coinw', 'probit', 'poloniex', 'latoken', 'bithumb', 'bione', 'bigone', 'tidex', 'btc_alpha', 'pionex', 'cointr', 'kraken', 'currency', 'tapbit', 'bit_com', 'bitunix', 'coinstore', 'bitmax', 'azbit', 'tokenize', 'trubit', 'trubit', 'fameex', 'bitfinex', 'hitbtc', 'hitbtc', 'bitcoin_com', 'bitcoin_com', 'bitvavo', 'bit2me', 'coincatch', 'fmcpay', 'changelly', 'fastex', 'weex', 'bitstamp', 'btcturk', 'pointpay', 'coinone', 'paribu', 'icrypex', 'phemex', 'qmall', 'bydfi', 'oceanex', 'bitcastle', 'bitexen', 'localtrade', 'dextrade', 'btse', 'exmo', 'koinpark', 'bitci', 'bitdelta', 'omgfin', 'purcow', 'catex', 'crex24', 'cryptology']","['thorswap', 'vvs', 'cube']"
